id,sig_id,pert_id,pert_iname,pert_desc,cell_id,pert_time,pert_dose,pert_type,is_gold,DrugBank.ID,CAS,CID,Drug_Name,Drug_Description,Drug_Group,Drug_Indication,ATC_Codes,A,B,C,D,G,H,J,L,M,N,P,R,S,V,DrugBank.ID.1,SMILES
130417,DOS012_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130418,DOS013_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130419,DOS014_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130420,DOS015_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130421,DOS016_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130422,DOS017_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130423,DOS018_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130424,DOS019_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130425,DOS020_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130426,DOS022_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130427,DOS023_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130428,DOS024_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130429,DOS025_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130430,DOS026_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130431,DOS027_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130432,DOS028_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
130433,DOS030_VCAP_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,6,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
137991,DOS009_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
137992,DOS010_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
137996,DOS014_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138000,DOS018_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138002,DOS020_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138003,DOS021_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138004,DOS022_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138005,DOS023_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138006,DOS024_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138007,DOS025_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
138008,DOS026_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,vorinostat,VCAP,24,10,trt_cp,1,DB02546,149647-78-9,5311,Vorinostat,"Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors.  A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. [Wikipedia]",approved;investigational;,"For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.",L01XX38;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DB02546,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
